Latitude,Longitude,Sample Date,Total Alkalinity,Electrical Conductance,Dissolved Reactive Phosphorus,Location_ID
-26.861111,28.884722,2011-01-03,74.72,162.9,163.0,114
-26.45,28.085833,2011-01-03,89.254,573.0,80.0,119
-27.671111,27.236944,2011-01-03,82.0,203.6,101.0,92
-27.01011111,26.69808333,2011-01-04,82.2,289.8,192.0,108
-25.127778,27.628889,2011-01-04,125.0,438.0,163.0,137
-25.20639,27.558,2011-01-04,116.62,568.0,69.0,135
-26.98472222,26.63227778,2011-01-04,196.0,452.0,158.0,110
-28.141944,26.417778,2011-01-04,94.718,227.9,132.0,83
-33.501667,21.624167,2011-01-04,201.0,769.0,74.0,17
-32.502778,19.535833,2011-01-04,10.387,73.0,10.0,26
-25.45963889,28.26430556,2011-01-04,108.94,396.0,82.0,130
-27.495556,26.074722,2011-01-04,67.8,218.6,91.0,96
-26.648056,27.089444,2011-01-05,211.0,532.0,62.0,116
-26.970278,27.211111,2011-01-05,71.5,248.4,117.0,111
-27.044444,27.005,2011-01-05,83.0,220.9,85.0,106
-30.830556,26.921389,2011-01-06,62.099,145.0,10.0,37
-27.02314,28.59389,2011-01-06,41.408,148.8,152.0,107
-30.679722,26.7125,2011-01-06,55.297,138.3,44.0,40
-32.595833,19.009444,2011-01-06,8.621,63.1,19.0,25
-25.99136,27.84208,2011-01-10,82.432,283.8,32.0,122
-26.73806,27.59194,2011-01-10,55.3,189.1,105.0,115
-26.45,28.085833,2011-01-10,105.711,635.0,80.0,119
-30.86013889,29.07125,2011-01-10,40.861,95.6,10.0,36
-27.01011111,26.69808333,2011-01-11,66.1,203.4,131.0,108
-25.73411,27.21422,2011-01-11,8.0,34.04,56.0,124
-26.98472222,26.63227778,2011-01-11,128.0,196.7,158.0,110
-27.671111,27.236944,2011-01-11,75.096,275.7,71.0,92
-29.160278,26.573333,2011-01-11,120.27,177.3,10.0,62
-25.45963889,28.26430556,2011-01-11,132.0,489.0,82.0,130
-25.81048333,27.90955222,2011-01-12,131.0,584.0,10.0,123
-28.883333,27.89,2011-01-12,117.44,271.7,10.0,68
-27.02314,28.59389,2011-01-13,62.806,192.7,35.0,107
-30.534167,24.961944,2011-01-13,100.962,142.6,80.0,43
-28.460833,21.248889,2011-01-13,102.898,353.0,51.0,77
-25.513889,31.224444,2011-01-17,63.165,155.5,11.0,128
-26.861111,28.884722,2011-01-17,101.685,315.4,114.0,114
-28.058889,30.373611,2011-01-17,58.0,220.0,100.0,87
-25.127778,27.628889,2011-01-18,131.0,415.0,163.0,137
-25.20639,27.558,2011-01-18,102.0,516.0,90.0,135
-25.681111,31.783333,2011-01-18,53.322,247.7,10.0,125
-27.802778,28.768333,2011-01-18,41.891,116.9,23.0,91
-31.104278,29.399722,2011-01-18,52.984,129.0,10.0,33
-33.31388889,19.07472222,2011-01-18,30.257,208.2,23.0,20
-27.495556,26.074722,2011-01-18,176.0,458.0,91.0,96
-26.970278,27.211111,2011-01-19,63.9,202.4,101.0,111
-26.880278,26.965,2011-01-19,235.0,593.0,176.0,113
-27.3,28.586944,2011-01-19,59.091,150.3,16.0,103
-27.044444,27.005,2011-01-19,83.5,225.2,102.0,106
-30.568333,29.422778,2011-01-19,40.9,109.3,12.0,42
-30.570833,29.150556,2011-01-19,40.72,90.6,10.0,41
-34.031944,22.053333,2011-01-19,17.64,266.5,10.0,7
-25.57877778,29.12747222,2011-01-19,58.232,231.7,10.0,127
-26.006389,29.253889,2011-01-20,77.092,367.0,14.0,121
-27.02314,28.59389,2011-01-20,94.557,254.9,15.0,107
-30.679722,26.7125,2011-01-20,73.862,158.9,10.0,40
-28.460833,21.248889,2011-01-20,85.7,259.1,29.0,77
-30.77586667,29.03221667,2011-01-20,40.9,110.2,12.0,38
-28.460833,21.248889,2011-01-21,81.0,243.2,43.0,77
-25.99136,27.84208,2011-01-24,90.9,324.2,32.0,122
-25.49037,30.6986,2011-01-24,36.957,124.5,10.0,129
-26.970278,27.211111,2011-01-24,76.24,287.3,96.0,111
-27.671111,27.236944,2011-01-24,47.184,142.9,129.0,92
-27.01011111,26.69808333,2011-01-25,77.006,299.3,125.0,108
-26.98472222,26.63227778,2011-01-25,153.0,410.0,158.0,110
-33.818056,19.694722,2011-01-25,11.901,145.1,10.0,14
-25.45963889,28.26430556,2011-01-25,144.132,560.0,82.0,130
-25.81048333,27.90955222,2011-01-26,110.0,652.0,10.0,123
-34.065833,20.404167,2011-01-26,68.815,758.0,10.0,5
-24.058889,31.237222,2011-01-26,70.928,306.4,15.0,149
