Latitude,Longitude,Sample Date
-34.405833,19.600556,2011-07-06
-34.405833,19.600556,2011-08-02
-34.405833,19.600556,2011-08-30
-34.405833,19.600556,2011-09-27
-34.405833,19.600556,2011-10-27
-34.405833,19.600556,2012-06-20
-34.405833,19.600556,2012-07-18
-34.405833,19.600556,2012-08-15
-34.405833,19.600556,2012-09-12
-34.405833,19.600556,2012-10-10
-34.405833,19.600556,2012-11-07
-34.405833,19.600556,2012-11-28
-34.405833,19.600556,2013-01-16
-34.405833,19.600556,2013-02-13
-34.405833,19.600556,2013-03-13
-34.405833,19.600556,2013-04-10
-34.405833,19.600556,2013-05-08
-34.405833,19.600556,2013-06-05
-34.405833,19.600556,2013-07-03
-34.405833,19.600556,2013-07-31
-34.405833,19.600556,2013-08-28
-34.405833,19.600556,2013-09-25
-34.405833,19.600556,2013-10-23
-34.405833,19.600556,2013-11-21
-34.405833,19.600556,2014-01-22
-34.405833,19.600556,2014-02-12
-34.405833,19.600556,2014-03-12
-34.405833,19.600556,2014-05-21
-34.405833,19.600556,2014-06-25
-34.405833,19.600556,2014-07-31
-34.405833,19.600556,2014-09-03
-34.405833,19.600556,2014-10-01
-34.405833,19.600556,2014-10-29
-34.405833,19.600556,2014-12-03
-34.405833,19.600556,2015-01-28
-34.405833,19.600556,2015-02-25
-34.405833,19.600556,2015-03-25
-34.405833,19.600556,2015-04-22
-34.405833,19.600556,2015-05-20
-34.405833,19.600556,2015-07-22
-34.405833,19.600556,2015-08-26
-34.405833,19.600556,2015-09-30
-34.405833,19.600556,2015-10-28
-34.405833,19.600556,2015-12-02
-34.329722,18.990278,2011-02-01
-34.329722,18.990278,2011-03-09
-34.329722,18.990278,2011-07-06
-34.329722,18.990278,2011-08-31
-34.329722,18.990278,2011-09-28
-34.329722,18.990278,2011-10-25
-34.329722,18.990278,2011-11-24
-34.329722,18.990278,2011-12-22
-34.329722,18.990278,2012-02-08
-34.329722,18.990278,2012-03-07
-34.329722,18.990278,2012-04-04
-34.329722,18.990278,2012-05-03
-34.329722,18.990278,2012-05-24
-34.329722,18.990278,2012-06-21
-34.329722,18.990278,2012-07-19
-34.329722,18.990278,2012-08-16
-34.329722,18.990278,2012-09-13
-34.329722,18.990278,2012-10-11
-34.329722,18.990278,2012-11-08
-34.329722,18.990278,2012-11-29
-34.329722,18.990278,2013-01-17
-34.329722,18.990278,2013-02-14
-34.329722,18.990278,2013-03-14
-34.329722,18.990278,2013-04-11
-34.329722,18.990278,2013-05-09
-34.329722,18.990278,2013-06-06
-34.329722,18.990278,2013-07-04
-34.329722,18.990278,2013-08-01
-34.329722,18.990278,2013-08-29
-34.329722,18.990278,2013-09-26
