Latitude,Longitude,land_cover_250m,land_cover_500m
-34.405833,19.600556,Grassland,Grassland
-34.329722,18.990278,Shrubland,Grassland
-34.250556,20.9925,Shrubland,Shrubland
-34.092222,21.295278,Grassland,Cropland
-34.075556,20.145556,Shrubland,Shrubland
-34.065833,20.404167,Grassland,Shrubland
-34.039722,22.133333,Tree cover,Shrubland
-34.031944,22.053333,Shrubland,Shrubland
-34.02861,22.22222,Tree cover,Tree cover
-34.005833,22.351111,Grassland,Grassland
-33.980556,21.653333,Cropland,Cropland
-33.970833,22.548333,Tree cover,Tree cover
-33.897778,20.012778,Shrubland,Shrubland
-33.870833,20.003333,Tree cover,Tree cover
-33.818056,19.694722,Shrubland,Shrubland
-33.72266667,18.61691667,Cropland,Cropland
-33.7075,18.97444444,Cropland,Built-up
-33.501667,21.624167,Tree cover,Shrubland
-33.464444,18.740556,Grassland,Grassland
-33.38056,19.30167,Grassland,Grassland
-33.31388889,19.07472222,Shrubland,Shrubland
-33.13083,18.86278,Cropland,Cropland
-33.08883333,19.21878333,Grassland,Grassland
-32.94583,18.33667,Grassland,Shrubland
-32.601389,18.750556,Shrubland,Shrubland
-32.595833,19.009444,Tree cover,Cropland
-32.502778,19.535833,Bare/sparse,Bare/sparse
-31.860278,18.6875,Shrubland,Shrubland
-31.5653,18.3306,Cropland,Shrubland
-31.554722,29.245556,Tree cover,Tree cover
-31.436944,20.474722,Bare/sparse,Bare/sparse
-31.396,29.2651,Tree cover,Tree cover
-31.394444,20.947222,Shrubland,Bare/sparse
-31.104278,29.399722,Tree cover,Tree cover
-31.031389,28.883333,Grassland,Grassland
-31.000833,26.353056,Shrubland,Shrubland
-30.86013889,29.07125,Cropland,Cropland
-30.830556,26.921389,Grassland,Grassland
-30.77586667,29.03221667,Shrubland,Shrubland
-30.733889,29.828333,Grassland,Grassland
-30.679722,26.7125,Water,Tree cover
-30.570833,29.150556,Grassland,Grassland
-30.568333,29.422778,Tree cover,Grassland
-30.534167,24.961944,Shrubland,Grassland
-30.398056,30.601944,Tree cover,Tree cover
-30.336111,27.359444,Grassland,Grassland
-30.27402,30.69602,Tree cover,Tree cover
-30.160091,27.40124,Grassland,Grassland
-30.13573889,30.67422222,Tree cover,Tree cover
-29.987778,29.851667,Tree cover,Cropland
-29.803611,30.516111,Tree cover,Tree cover
-29.7775,29.470833,Grassland,Grassland
-29.758889,30.935278,Tree cover,Tree cover
-29.744167,29.905833,Grassland,Grassland
-29.658056,25.973333,Grassland,Grassland
-29.651389,22.746389,Shrubland,Shrubland
-29.641944,30.6875,Tree cover,Tree cover
-29.615556,27.065278,Grassland,Grassland
-29.380556,30.2775,Grassland,Grassland
-29.1825,23.575556,Water,Shrubland
-29.161667,23.696389,Water,Shrubland
-29.161667,30.629722,Grassland,Grassland
-29.160278,26.573333,Grassland,Grassland
-29.140556,31.391944,Tree cover,Tree cover
-29.042222,24.6,Shrubland,Shrubland
-29.033333,23.983333,Grassland,Cropland
-29.028629,24.638389,Shrubland,Shrubland
-28.96362,19.15486,Water,Bare/sparse
-28.883333,27.89,Built-up,Built-up
-28.801278,31.955389,Cropland,Cropland
-28.768056,20.720556,Tree cover,Shrubland
-28.760833,17.730278,Water,Bare/sparse
-28.75,30.442778,Built-up,Built-up
-28.747778,31.745833,Tree cover,Grassland
-28.735556,29.820556,Tree cover,Grassland
-28.7115,24.07288889,Grassland,Shrubland
-28.69485,28.23487,Tree cover,Tree cover
-28.460833,21.248889,Water,Water
-28.44555556,32.325,Cropland,Cropland
-28.404444,30.013056,Grassland,Grassland
-28.376944,24.303056,Shrubland,Shrubland
-28.338333,31.373611,Shrubland,Shrubland
-28.308889,31.9025,Tree cover,Tree cover
-28.141944,26.417778,Grassland,Grassland
-28.1175,26.719444,Grassland,Grassland
